"Date & Time","Usage [kW]","Generation [kW]","L1 Voltage [V]","L2 Voltage [V]","L3 Voltage [V]","CT1 Amperage [A]","CT2 Amperage [A]","CT3 Amperage [A]","Panel 4A [kW]","Panel 4A* [kVA]","Panel 4A Power Factor []","Panel 4G [kW]","PACU-1 [kW]","PACU-2 [kW]","CT4L1 [kW]","CT5L2 [kW]","CT6L3 [kW]","SOLAR [kW]"
2026-08-06 11:18:00,82.856512222,216.902436667,274.781233051,275.529423087,275.182695293,0.898678932,2.877055692,3.341425714,-0.508695556,1.959158889,0.261694457,-0.318431111,42.259642222,41.423996667,-4.593886667,-6.810391111,-0.042563333,-216.902436667
2026-08-06 11:03:00,70.119104444,142.915157778,274.753896383,275.372508635,275.117450845,0.891577820,2.959504585,3.331210158,-0.546123333,1.976416667,0.278548902,0.288610000,29.671676667,40.704941111,-3.939941111,-6.810452222,-0.054196667,-142.915157778
2026-08-06 10:48:00,73.940530000,113.791562222,274.570501930,275.187495293,274.866994167,0.895876709,3.118130148,3.338922381,-0.638708889,2.021793333,0.315824459,0.601810000,33.304446667,40.672982222,-3.613270000,-6.807715556,-0.084068889,-113.791562222
2026-08-06 10:33:00,80.742704444,168.563210000,274.322060807,275.078470843,274.709638604,0.885688931,2.964780141,3.319291269,-0.570147778,1.970360000,0.291137792,0.117952222,40.438894444,40.756005556,-4.129923333,-6.809754444,-0.067761111,-168.563210000
2026-08-06 10:18:00,65.678016667,209.854346667,274.226094136,275.026501952,274.687181936,0.885498931,2.893397915,3.286163489,-0.568066667,1.941250000,0.295236681,-0.345566667,26.335170000,40.256480000,-4.584267778,-6.814668889,0.014754444,-209.854346667
2026-08-06 10:03:00,84.198724444,90.211214444,273.625224108,274.377354143,274.081190796,0.885041153,2.928504584,3.310830157,-0.530470000,1.953122222,0.273715569,0.845156667,44.481648889,39.402388889,-3.383562222,-6.808567778,-0.116873333,-90.211214444
2026-08-06 09:48:00,60.943276667,65.749384444,273.609244107,274.344698586,274.133331910,0.885212264,2.902745693,3.273754600,-0.511545556,1.935992222,0.266284457,0.990023333,21.298673333,39.166125556,-3.188664444,-6.810144444,-0.086425556,-65.749384444
2026-08-06 09:33:00,74.774323333,60.585284444,273.510247435,274.200427468,274.037788572,0.879592264,2.899096804,3.284745712,-0.512344444,1.935650000,0.266773346,1.146265556,44.481407778,29.658994444,-3.071893333,-6.806465556,-0.139443333,-60.585284444
2026-08-06 09:18:00,59.392146667,52.486502222,273.958923012,274.629276378,274.498595260,0.882911153,2.919009028,3.310616824,-0.516024444,1.952293333,0.266491124,1.116273333,22.754682222,36.037215556,-3.061487778,-6.808836667,-0.085880000,-52.486502222
2026-08-06 09:03:00,76.394265556,47.343746667,274.924656392,275.647691981,275.367609746,0.890263376,2.905245694,3.345023492,-0.514562222,1.966777778,0.263816679,1.275236667,41.722630000,33.910961111,-2.942275556,-6.805103333,-0.140886667,-47.343746667
2026-08-06 08:48:00,56.334354444,51.986662222,275.106206400,275.821566434,275.628594203,0.896246709,2.977672364,3.351487937,-0.517413333,1.991644444,0.261858901,1.146045556,26.999147778,28.706574444,-3.049996667,-6.806990000,-0.111536667,-51.986662222
2026-08-06 08:33:00,67.600757778,70.148435556,275.178994181,275.750601986,275.600770868,0.897447820,2.923106806,3.311640157,-0.529995556,1.965696667,0.271705568,1.016175556,33.940018889,33.174558889,-3.198150000,-6.804922222,-0.119033333,-70.148435556
