"DateTime","Inverter power for Inverter 1 (7E144A6A)"
"2026-03-27 00:00:00",0
"2026-03-27 01:00:00",0
"2026-03-27 02:00:00",0
"2026-03-27 03:00:00",0
"2026-03-27 04:00:00",0
"2026-03-27 05:00:00",0
"2026-03-27 06:00:00",0
"2026-03-27 07:00:00",0
"2026-03-27 08:00:00",808
"2026-03-27 09:00:00",7660
"2026-03-27 10:00:00",11459
"2026-03-27 11:00:00",13017
"2026-03-27 12:00:00",13596
"2026-03-27 13:00:00",13268
"2026-03-27 14:00:00",12003
"2026-03-27 15:00:00",9596
"2026-03-27 16:00:00",5267
"2026-03-27 17:00:00",2152
"2026-03-27 18:00:00",250
"2026-03-27 19:00:00",0
"2026-03-27 20:00:00",0
"2026-03-27 21:00:00",0
"2026-03-27 22:00:00",0
"2026-03-27 23:00:00",0
"2026-03-28 00:00:00",0
"2026-03-28 01:00:00",0
"2026-03-28 02:00:00",0
"2026-03-28 03:00:00",0
"2026-03-28 04:00:00",0
"2026-03-28 05:00:00",0
"2026-03-28 06:00:00",253
"2026-03-28 07:00:00",780
"2026-03-28 08:00:00",5158
"2026-03-28 09:00:00",8769
"2026-03-28 10:00:00",11750
"2026-03-28 11:00:00",13292
"2026-03-28 12:00:00",12433
"2026-03-28 13:00:00",12689
"2026-03-28 14:00:00",10678
"2026-03-28 15:00:00",10161
"2026-03-28 16:00:00",5022
"2026-03-28 17:00:00",1797
"2026-03-28 18:00:00",432
"2026-03-28 19:00:00",0
"2026-03-28 20:00:00",0
"2026-03-28 21:00:00",0
"2026-03-28 22:00:00",0
"2026-03-28 23:00:00",0
"2026-03-29 00:00:00",0
"2026-03-29 01:00:00",0
"2026-03-29 02:00:00",0
"2026-03-29 03:00:00",0
"2026-03-29 04:00:00",0
"2026-03-29 05:00:00",0
"2026-03-29 06:00:00",111
"2026-03-29 07:00:00",1821
"2026-03-29 08:00:00",5853
"2026-03-29 09:00:00",9307
"2026-03-29 10:00:00",11883
"2026-03-29 11:00:00",11562
"2026-03-29 12:00:00",13358
"2026-03-29 13:00:00",13479
"2026-03-29 14:00:00",12384
"2026-03-29 15:00:00",9495
"2026-03-29 16:00:00",5098
"2026-03-29 17:00:00",1857
"2026-03-29 18:00:00",276
"2026-03-29 19:00:00",0
"2026-03-29 20:00:00",0
"2026-03-29 21:00:00",0
"2026-03-29 22:00:00",0
"2026-03-29 23:00:00",0
"2026-03-30 00:00:00",0
"2026-03-30 01:00:00",0
"2026-03-30 02:00:00",0
"2026-03-30 03:00:00",0
"2026-03-30 04:00:00",0
"2026-03-30 05:00:00",0
"2026-03-30 06:00:00",141
"2026-03-30 07:00:00",1003
"2026-03-30 08:00:00",2614
"2026-03-30 09:00:00",4502
"2026-03-30 10:00:00",9059
"2026-03-30 11:00:00",13210
"2026-03-30 12:00:00",12645
"2026-03-30 13:00:00",11724
"2026-03-30 14:00:00",8506
"2026-03-30 15:00:00",10438
"2026-03-30 16:00:00",5902
"2026-03-30 17:00:00",2361
"2026-03-30 18:00:00",229
"2026-03-30 19:00:00",0
"2026-03-30 20:00:00",0
"2026-03-30 21:00:00",0
"2026-03-30 22:00:00",0
"2026-03-30 23:00:00",0
"2026-03-31 00:00:00",0
"2026-03-31 01:00:00",0
"2026-03-31 02:00:00",0
"2026-03-31 03:00:00",0
"2026-03-31 04:00:00",0
"2026-03-31 05:00:00",0
"2026-03-31 06:00:00",67
"2026-03-31 07:00:00",1832
"2026-03-31 08:00:00",2221
"2026-03-31 09:00:00",7951
"2026-03-31 10:00:00",11546
"2026-03-31 11:00:00",13142
"2026-03-31 12:00:00",12164
"2026-03-31 13:00:00",14061
"2026-03-31 14:00:00",11093
"2026-03-31 15:00:00",10067
"2026-03-31 16:00:00",4600
"2026-03-31 17:00:00",1932
"2026-03-31 18:00:00",416
"2026-03-31 19:00:00",0
"2026-03-31 20:00:00",0
"2026-03-31 21:00:00",0
"2026-03-31 22:00:00",0
"2026-03-31 23:00:00",0
"2026-04-01 00:00:00",0
"2026-04-01 01:00:00",0
"2026-04-01 02:00:00",0
"2026-04-01 03:00:00",0
"2026-04-01 04:00:00",0
"2026-04-01 05:00:00",0
"2026-04-01 06:00:00",200
"2026-04-01 07:00:00",2074
"2026-04-01 08:00:00",4426
"2026-04-01 09:00:00",9628
"2026-04-01 10:00:00",12092
"2026-04-01 11:00:00",12896
"2026-04-01 12:00:00",13789
"2026-04-01 13:00:00",12821
"2026-04-01 14:00:00",10965
"2026-04-01 15:00:00",10901
"2026-04-01 16:00:00",6283
"2026-04-01 17:00:00",2957
"2026-04-01 18:00:00",416
"2026-04-01 19:00:00",0
"2026-04-01 20:00:00",0
"2026-04-01 21:00:00",0
"2026-04-01 22:00:00",0
"2026-04-01 23:00:00",0
"2026-04-02 00:00:00",0
"2026-04-02 01:00:00",0
"2026-04-02 02:00:00",0
"2026-04-02 03:00:00",0
"2026-04-02 04:00:00",0
"2026-04-02 05:00:00",0
"2026-04-02 06:00:00",211
"2026-04-02 07:00:00",1302
"2026-04-02 08:00:00",2732
"2026-04-02 09:00:00",4531
"2026-04-02 10:00:00",7380
"2026-04-02 11:00:00",8275
"2026-04-02 12:00:00",8428
"2026-04-02 13:00:00",8083
"2026-04-02 14:00:00",10146
"2026-04-02 15:00:00",5858
"2026-04-02 16:00:00",3429
"2026-04-02 17:00:00",1337
"2026-04-02 18:00:00",182
"2026-04-02 19:00:00",0
"2026-04-02 20:00:00",0
"2026-04-02 21:00:00",0
"2026-04-02 22:00:00",0
"2026-04-02 23:00:00",0
