"DateTime","Inverter power for Inverter 1 (7E144A6A)"
"2026-07-31 00:00:00",0
"2026-07-31 01:00:00",0
"2026-07-31 02:00:00",0
"2026-07-31 03:00:00",0
"2026-07-31 04:00:00",0
"2026-07-31 05:00:00",0
"2026-07-31 06:00:00",242
"2026-07-31 07:00:00",1452
"2026-07-31 08:00:00",4477
"2026-07-31 09:00:00",7169
"2026-07-31 10:00:00",10270
"2026-07-31 11:00:00",8885
"2026-07-31 12:00:00",11784
"2026-07-31 13:00:00",10717
"2026-07-31 14:00:00",10222
"2026-07-31 15:00:00",6158
"2026-07-31 16:00:00",4336
"2026-07-31 17:00:00",2706
"2026-07-31 18:00:00",470
"2026-07-31 19:00:00",0
"2026-07-31 20:00:00",0
"2026-07-31 21:00:00",0
"2026-07-31 22:00:00",0
"2026-07-31 23:00:00",0
"2026-08-01 00:00:00",0
"2026-08-01 01:00:00",0
"2026-08-01 02:00:00",0
"2026-08-01 03:00:00",0
"2026-08-01 04:00:00",0
"2026-08-01 05:00:00",0
"2026-08-01 06:00:00",338
"2026-08-01 07:00:00",1468
"2026-08-01 08:00:00",3854
"2026-08-01 09:00:00",6087
"2026-08-01 10:00:00",5816
"2026-08-01 11:00:00",6242
"2026-08-01 12:00:00",8500
"2026-08-01 13:00:00",10149
"2026-08-01 14:00:00",5821
"2026-08-01 15:00:00",6304
"2026-08-01 16:00:00",5320
"2026-08-01 17:00:00",1395
"2026-08-01 18:00:00",1034
"2026-08-01 19:00:00",7
"2026-08-01 20:00:00",0
"2026-08-01 21:00:00",0
"2026-08-01 22:00:00",0
"2026-08-01 23:00:00",0
"2026-08-02 00:00:00",0
"2026-08-02 01:00:00",0
"2026-08-02 02:00:00",0
"2026-08-02 03:00:00",0
"2026-08-02 04:00:00",0
"2026-08-02 05:00:00",0
"2026-08-02 06:00:00",315
"2026-08-02 07:00:00",1174
"2026-08-02 08:00:00",3968
"2026-08-02 09:00:00",3854
"2026-08-02 10:00:00",6751
"2026-08-02 11:00:00",7152
"2026-08-02 12:00:00",11887
"2026-08-02 13:00:00",7011
"2026-08-02 14:00:00",9913
"2026-08-02 15:00:00",8006
"2026-08-02 16:00:00",6062
"2026-08-02 17:00:00",3031
"2026-08-02 18:00:00",465
"2026-08-02 19:00:00",0
"2026-08-02 20:00:00",0
"2026-08-02 21:00:00",0
"2026-08-02 22:00:00",0
"2026-08-02 23:00:00",0
"2026-08-03 00:00:00",0
"2026-08-03 01:00:00",0
"2026-08-03 02:00:00",0
"2026-08-03 03:00:00",0
"2026-08-03 04:00:00",0
"2026-08-03 05:00:00",0
"2026-08-03 06:00:00",144
"2026-08-03 07:00:00",1292
"2026-08-03 08:00:00",6610
"2026-08-03 09:00:00",8414
"2026-08-03 10:00:00",10888
"2026-08-03 11:00:00",12414
"2026-08-03 12:00:00",13356
"2026-08-03 13:00:00",12963
"2026-08-03 14:00:00",11795
"2026-08-03 15:00:00",9938
"2026-08-03 16:00:00",7310
"2026-08-03 17:00:00",3198
"2026-08-03 18:00:00",890
"2026-08-03 19:00:00",0
"2026-08-03 20:00:00",0
"2026-08-03 21:00:00",0
"2026-08-03 22:00:00",0
"2026-08-03 23:00:00",0
"2026-08-04 00:00:00",0
"2026-08-04 01:00:00",0
"2026-08-04 02:00:00",0
"2026-08-04 03:00:00",0
"2026-08-04 04:00:00",0
"2026-08-04 05:00:00",0
"2026-08-04 06:00:00",365
"2026-08-04 07:00:00",1828
"2026-08-04 08:00:00",5401
"2026-08-04 09:00:00",6083
"2026-08-04 10:00:00",11193
"2026-08-04 11:00:00",11918
"2026-08-04 12:00:00",9509
"2026-08-04 13:00:00",11833
"2026-08-04 14:00:00",10001
"2026-08-04 15:00:00",7732
"2026-08-04 16:00:00",6438
"2026-08-04 17:00:00",1984
"2026-08-04 18:00:00",551
"2026-08-04 19:00:00",0
"2026-08-04 20:00:00",0
"2026-08-04 21:00:00",0
"2026-08-04 22:00:00",0
"2026-08-04 23:00:00",0
"2026-08-05 00:00:00",0
"2026-08-05 01:00:00",0
"2026-08-05 02:00:00",0
"2026-08-05 03:00:00",0
"2026-08-05 04:00:00",0
"2026-08-05 05:00:00",0
"2026-08-05 06:00:00",399
"2026-08-05 07:00:00",2668
"2026-08-05 08:00:00",5733
"2026-08-05 09:00:00",6927
"2026-08-05 10:00:00",7697
"2026-08-05 11:00:00",10221
"2026-08-05 12:00:00",11868
"2026-08-05 13:00:00",11568
"2026-08-05 14:00:00",8276
"2026-08-05 15:00:00",5919
"2026-08-05 16:00:00",3998
"2026-08-05 17:00:00",2293
"2026-08-05 18:00:00",520
"2026-08-05 19:00:00",0
"2026-08-05 20:00:00",0
"2026-08-05 21:00:00",0
"2026-08-05 22:00:00",0
"2026-08-05 23:00:00",0
"2026-08-06 00:00:00",0
"2026-08-06 01:00:00",0
"2026-08-06 02:00:00",0
"2026-08-06 03:00:00",0
"2026-08-06 04:00:00",0
"2026-08-06 05:00:00",0
"2026-08-06 06:00:00",229
"2026-08-06 07:00:00",2254
"2026-08-06 08:00:00",4450
"2026-08-06 09:00:00",2814
"2026-08-06 10:00:00",8079
"2026-08-06 11:00:00",10915
"2026-08-06 12:00:00",8526
"2026-08-06 13:00:00",11494
"2026-08-06 14:00:00",0
"2026-08-06 15:00:00",0
"2026-08-06 16:00:00",0
"2026-08-06 17:00:00",0
"2026-08-06 18:00:00",0
"2026-08-06 19:00:00",0
"2026-08-06 20:00:00",0
"2026-08-06 21:00:00",0
"2026-08-06 22:00:00",0
"2026-08-06 23:00:00",0
