"DateTime","Inverter power for Inverter 1 (7E159B0C)","Inverter power for Inverter 2 (7E159B09)","Inverter power for Inverter 3 (7E159B0B)","Inverter power for Inverter 4 (7E159B18)","Inverter power for Inverter 5 (7B109052)"
"2026-07-10 00:00:00",0,0,0,0,0
"2026-07-10 01:00:00",0,0,0,0,0
"2026-07-10 02:00:00",0,0,0,0,0
"2026-07-10 03:00:00",0,0,0,0,0
"2026-07-10 04:00:00",0,0,0,0,0
"2026-07-10 05:00:00",0,0,0,0,0
"2026-07-10 06:00:00",457,587,565,565,0
"2026-07-10 07:00:00",1851,2376,2317,2194,0
"2026-07-10 08:00:00",5823,7063,6909,6621,0
"2026-07-10 09:00:00",8400,10199,9969,9957,0
"2026-07-10 10:00:00",8060,9295,9268,8994,0
"2026-07-10 11:00:00",12043,14039,14120,13827,0
"2026-07-10 12:00:00",6815,8133,7843,8262,0
"2026-07-10 13:00:00",9594,11114,10951,11284,0
"2026-07-10 14:00:00",8392,9962,9853,10225,0
"2026-07-10 15:00:00",7957,9181,9059,9515,0
"2026-07-10 16:00:00",6186,7359,7249,7787,0
"2026-07-10 17:00:00",4180,5130,5020,5565,0
"2026-07-10 18:00:00",626,795,773,886,0
"2026-07-10 19:00:00",58,100,98,97,0
"2026-07-10 20:00:00",0,0,0,0,0
"2026-07-10 21:00:00",0,0,0,0,0
"2026-07-10 22:00:00",0,0,0,0,0
"2026-07-10 23:00:00",0,0,0,0,0
"2026-07-11 00:00:00",0,0,0,0,0
"2026-07-11 01:00:00",0,0,0,0,0
"2026-07-11 02:00:00",0,0,0,0,0
"2026-07-11 03:00:00",0,0,0,0,0
"2026-07-11 04:00:00",0,0,0,0,0
"2026-07-11 05:00:00",0,0,0,0,0
"2026-07-11 06:00:00",167,233,228,215,0
"2026-07-11 07:00:00",1111,1397,1362,1357,0
"2026-07-11 08:00:00",2007,2513,2436,2445,0
"2026-07-11 09:00:00",4478,5710,5518,5457,0
"2026-07-11 10:00:00",7873,9578,9481,9597,0
"2026-07-11 11:00:00",8546,9645,9590,9947,0
"2026-07-11 12:00:00",9959,11751,11682,12055,0
"2026-07-11 13:00:00",10722,12632,12524,12731,0
"2026-07-11 14:00:00",7433,9077,8651,8583,0
"2026-07-11 15:00:00",7046,8648,8328,8544,0
"2026-07-11 16:00:00",3885,4595,4263,4712,0
"2026-07-11 17:00:00",1802,2228,2199,2274,0
"2026-07-11 18:00:00",687,842,835,964,0
"2026-07-11 19:00:00",35,38,45,25,0
"2026-07-11 20:00:00",0,0,0,0,0
"2026-07-11 21:00:00",0,0,0,0,0
"2026-07-11 22:00:00",0,0,0,0,0
"2026-07-11 23:00:00",0,0,0,0,0
"2026-07-12 00:00:00",0,0,0,0,0
"2026-07-12 01:00:00",0,0,0,0,0
"2026-07-12 02:00:00",0,0,0,0,0
"2026-07-12 03:00:00",0,0,0,0,0
"2026-07-12 04:00:00",0,0,0,0,0
"2026-07-12 05:00:00",0,0,0,0,0
"2026-07-12 06:00:00",173,248,243,241,0
"2026-07-12 07:00:00",2304,3036,2955,2740,0
"2026-07-12 08:00:00",4329,5559,4916,5237,0
"2026-07-12 09:00:00",8676,10649,10455,8680,0
"2026-07-12 10:00:00",6852,8378,8130,8163,0
"2026-07-12 11:00:00",9105,10694,10468,10526,0
"2026-07-12 12:00:00",12487,14755,14570,14628,0
"2026-07-12 13:00:00",11507,13540,13381,13432,0
"2026-07-12 14:00:00",9065,10700,10529,10864,0
"2026-07-12 15:00:00",8251,10101,9962,10091,0
"2026-07-12 16:00:00",4891,5680,5615,6052,0
"2026-07-12 17:00:00",1277,1543,1509,1564,0
"2026-07-12 18:00:00",283,358,362,347,0
"2026-07-12 19:00:00",0,0,0,0,0
"2026-07-12 20:00:00",0,0,0,0,0
"2026-07-12 21:00:00",0,0,0,0,0
"2026-07-12 22:00:00",0,0,0,0,0
"2026-07-12 23:00:00",0,0,0,0,0
"2026-07-13 00:00:00",0,0,0,0,0
"2026-07-13 01:00:00",0,0,0,0,0
"2026-07-13 02:00:00",0,0,0,0,0
"2026-07-13 03:00:00",0,0,0,0,0
"2026-07-13 04:00:00",0,0,0,0,0
"2026-07-13 05:00:00",0,0,0,0,0
"2026-07-13 06:00:00",147,199,197,191,0
"2026-07-13 07:00:00",1084,1387,1341,1273,0
"2026-07-13 08:00:00",4149,5159,5062,4904,0
"2026-07-13 09:00:00",6757,8342,8144,8038,0
"2026-07-13 10:00:00",9654,11828,11666,11483,0
"2026-07-13 11:00:00",11553,13449,13374,13454,0
"2026-07-13 12:00:00",11642,13679,13358,13763,0
"2026-07-13 13:00:00",10643,12446,12355,12634,0
"2026-07-13 14:00:00",10551,11214,11952,12524,0
"2026-07-13 15:00:00",8888,10453,10357,10875,0
"2026-07-13 16:00:00",6208,7384,7288,7801,0
"2026-07-13 17:00:00",3131,3826,3750,4179,0
"2026-07-13 18:00:00",739,944,925,1101,0
"2026-07-13 19:00:00",22,27,39,14,0
"2026-07-13 20:00:00",0,0,0,0,0
"2026-07-13 21:00:00",0,0,0,0,0
"2026-07-13 22:00:00",0,0,0,0,0
"2026-07-13 23:00:00",0,0,0,0,0
"2026-07-14 00:00:00",0,0,0,0,0
"2026-07-14 01:00:00",0,0,0,0,0
"2026-07-14 02:00:00",0,0,0,0,0
"2026-07-14 03:00:00",0,0,0,0,0
"2026-07-14 04:00:00",0,0,0,0,0
"2026-07-14 05:00:00",0,0,0,0,0
"2026-07-14 06:00:00",191,258,251,236,0
"2026-07-14 07:00:00",1166,1548,1513,1392,0
"2026-07-14 08:00:00",3017,4786,4724,4552,0
"2026-07-14 09:00:00",3274,4095,4029,3966,0
"2026-07-14 10:00:00",9245,11153,10866,10793,0
"2026-07-14 11:00:00",11515,13527,13445,13344,0
"2026-07-14 12:00:00",12032,13949,13917,14011,0
"2026-07-14 13:00:00",10245,11814,10537,12088,0
"2026-07-14 14:00:00",10320,11944,11947,12387,0
"2026-07-14 15:00:00",9123,10790,10715,11170,0
"2026-07-14 16:00:00",5347,6262,6084,6698,0
"2026-07-14 17:00:00",3508,4194,4135,4506,0
"2026-07-14 18:00:00",839,1008,962,1110,0
"2026-07-14 19:00:00",0,23,33,34,0
"2026-07-14 20:00:00",0,0,0,0,0
"2026-07-14 21:00:00",0,0,0,0,0
"2026-07-14 22:00:00",0,0,0,0,0
"2026-07-14 23:00:00",0,0,0,0,0
"2026-07-15 00:00:00",0,0,0,0,0
"2026-07-15 01:00:00",0,0,0,0,0
"2026-07-15 02:00:00",0,0,0,0,0
"2026-07-15 03:00:00",0,0,0,0,0
"2026-07-15 04:00:00",0,0,0,0,0
"2026-07-15 05:00:00",0,0,0,0,0
"2026-07-15 06:00:00",275,370,371,349,0
"2026-07-15 07:00:00",2904,3768,3644,3268,0
"2026-07-15 08:00:00",5429,6779,6598,6293,0
"2026-07-15 09:00:00",6698,8153,7874,7917,0
"2026-07-15 10:00:00",11071,12986,12799,12760,0
"2026-07-15 11:00:00",12011,13420,13438,13403,0
"2026-07-15 12:00:00",12778,14685,14577,14742,0
"2026-07-15 13:00:00",9412,10610,10589,10746,0
"2026-07-15 14:00:00",3042,3271,3051,3409,0
"2026-07-15 15:00:00",7975,8321,9102,9270,0
"2026-07-15 16:00:00",6303,7385,7280,7793,0
"2026-07-15 17:00:00",3394,4097,3995,4549,0
"2026-07-15 18:00:00",766,995,963,1266,0
"2026-07-15 19:00:00",22,47,52,43,0
"2026-07-15 20:00:00",0,0,0,0,0
"2026-07-15 21:00:00",0,0,0,0,0
"2026-07-15 22:00:00",0,0,0,0,0
"2026-07-15 23:00:00",0,0,0,0,0
"2026-07-16 00:00:00",0,0,0,0,0
"2026-07-16 01:00:00",0,0,0,0,0
"2026-07-16 02:00:00",0,0,0,0,0
"2026-07-16 03:00:00",0,0,0,0,0
"2026-07-16 04:00:00",0,0,0,0,0
"2026-07-16 05:00:00",0,0,0,0,0
"2026-07-16 06:00:00",176,260,251,240,0
"2026-07-16 07:00:00",881,1130,1095,1029,0
"2026-07-16 08:00:00",5393,6537,6425,6043,0
"2026-07-16 09:00:00",8509,10226,10017,9838,0
"2026-07-16 10:00:00",10289,11999,11813,11864,0
"2026-07-16 11:00:00",11321,13200,13121,13147,0
"2026-07-16 12:00:00",9883,12693,13410,12399,0
"2026-07-16 13:00:00",10847,12479,12400,12731,0
"2026-07-16 14:00:00",9355,11014,10913,11246,2555
"2026-07-16 15:00:00",5812,6870,6870,7010,7688
"2026-07-16 16:00:00",5865,7079,7024,7222,7789
"2026-07-16 17:00:00",3347,4011,3959,4307,4487
"2026-07-16 18:00:00",752,945,912,1173,1221
"2026-07-16 19:00:00",0,32,20,19,0
"2026-07-16 20:00:00",0,0,0,0,0
"2026-07-16 21:00:00",0,0,0,0,0
"2026-07-16 22:00:00",0,0,0,0,0
"2026-07-16 23:00:00",0,0,0,0,0
