"DateTime","Inverter power for Inverter 1 (7E159B0C)","Inverter power for Inverter 2 (7E159B09)","Inverter power for Inverter 3 (7E159B0B)","Inverter power for Inverter 4 (7E159B18)","Inverter power for Inverter 5 (7B109052)"
"2026-07-31 00:00:00",0,0,0,0,0
"2026-07-31 01:00:00",0,0,0,0,0
"2026-07-31 02:00:00",0,0,0,0,0
"2026-07-31 03:00:00",0,0,0,0,0
"2026-07-31 04:00:00",0,0,0,0,0
"2026-07-31 05:00:00",0,0,0,0,0
"2026-07-31 06:00:00",139,191,197,194,184
"2026-07-31 07:00:00",1519,1910,1863,1786,1880
"2026-07-31 08:00:00",4107,4816,4706,4577,4735
"2026-07-31 09:00:00",3682,4559,4438,4435,4651
"2026-07-31 10:00:00",8655,10154,10127,10030,10321
"2026-07-31 11:00:00",7297,9002,8753,9107,9516
"2026-07-31 12:00:00",9488,11745,11792,10789,12190
"2026-07-31 13:00:00",9857,11534,11427,11846,11986
"2026-07-31 14:00:00",8873,10274,10070,10569,10863
"2026-07-31 15:00:00",4500,5193,5123,5329,5459
"2026-07-31 16:00:00",3442,3720,3387,3853,3849
"2026-07-31 17:00:00",2070,2492,2413,2650,2749
"2026-07-31 18:00:00",310,401,391,402,412
"2026-07-31 19:00:00",0,0,0,0,0
"2026-07-31 20:00:00",0,0,0,0,0
"2026-07-31 21:00:00",0,0,0,0,0
"2026-07-31 22:00:00",0,0,0,0,0
"2026-07-31 23:00:00",0,0,0,0,0
"2026-08-01 00:00:00",0,0,0,0,0
"2026-08-01 01:00:00",0,0,0,0,0
"2026-08-01 02:00:00",0,0,0,0,0
"2026-08-01 03:00:00",0,0,0,0,0
"2026-08-01 04:00:00",0,0,0,0,0
"2026-08-01 05:00:00",0,0,0,0,0
"2026-08-01 06:00:00",212,284,279,271,279
"2026-08-01 07:00:00",1499,2070,1986,1885,2076
"2026-08-01 08:00:00",3123,3847,3757,3675,3863
"2026-08-01 09:00:00",3379,4270,4158,4063,4326
"2026-08-01 10:00:00",5124,6180,6400,6365,6652
"2026-08-01 11:00:00",6051,7629,7462,7315,7944
"2026-08-01 12:00:00",8839,9618,9617,9248,10142
"2026-08-01 13:00:00",7582,9338,9208,9068,9506
"2026-08-01 14:00:00",4010,5041,4933,5145,5386
"2026-08-01 15:00:00",5149,6250,6141,6373,6689
"2026-08-01 16:00:00",4978,5866,5765,6146,6325
"2026-08-01 17:00:00",1070,1318,1302,1327,1404
"2026-08-01 18:00:00",844,1022,1008,1070,1115
"2026-08-01 19:00:00",33,36,40,2,0
"2026-08-01 20:00:00",0,0,0,0,0
"2026-08-01 21:00:00",0,0,0,0,0
"2026-08-01 22:00:00",0,0,0,0,0
"2026-08-01 23:00:00",0,0,0,0,0
"2026-08-02 00:00:00",0,0,0,0,0
"2026-08-02 01:00:00",0,0,0,0,0
"2026-08-02 02:00:00",0,0,0,0,0
"2026-08-02 03:00:00",0,0,0,0,0
"2026-08-02 04:00:00",0,0,0,0,0
"2026-08-02 05:00:00",0,0,0,0,0
"2026-08-02 06:00:00",228,302,298,294,286
"2026-08-02 07:00:00",1057,1329,1297,1165,1361
"2026-08-02 08:00:00",3003,3782,3734,3693,3857
"2026-08-02 09:00:00",3045,3841,3760,3758,3958
"2026-08-02 10:00:00",5687,6567,6517,6484,6662
"2026-08-02 11:00:00",6686,7950,7796,8031,8373
"2026-08-02 12:00:00",7586,9142,9003,9288,9644
"2026-08-02 13:00:00",5900,7285,7162,7187,7508
"2026-08-02 14:00:00",9722,12612,12452,12930,13352
"2026-08-02 15:00:00",8330,10342,10281,10609,10997
"2026-08-02 16:00:00",6592,8474,8323,8798,9167
"2026-08-02 17:00:00",3393,4114,4036,4531,4752
"2026-08-02 18:00:00",730,858,843,1096,1142
"2026-08-02 19:00:00",28,22,40,10,0
"2026-08-02 20:00:00",0,0,0,0,0
"2026-08-02 21:00:00",0,0,0,0,0
"2026-08-02 22:00:00",0,0,0,0,0
"2026-08-02 23:00:00",0,0,0,0,0
"2026-08-03 00:00:00",0,0,0,0,0
"2026-08-03 01:00:00",0,0,0,0,0
"2026-08-03 02:00:00",0,0,0,0,0
"2026-08-03 03:00:00",0,0,0,0,0
"2026-08-03 04:00:00",0,0,0,0,0
"2026-08-03 05:00:00",0,0,0,0,0
"2026-08-03 06:00:00",102,119,121,118,103
"2026-08-03 07:00:00",1385,1720,1683,1589,1681
"2026-08-03 08:00:00",5292,6681,6515,6149,6488
"2026-08-03 09:00:00",7586,9374,9231,8944,9361
"2026-08-03 10:00:00",9015,10752,10658,10540,10907
"2026-08-03 11:00:00",10264,12062,12060,11931,12311
"2026-08-03 12:00:00",11279,13487,13571,13528,13737
"2026-08-03 13:00:00",11425,13203,13176,13438,13818
"2026-08-03 14:00:00",10311,11952,11888,12283,12633
"2026-08-03 15:00:00",8686,10170,10074,10563,10873
"2026-08-03 16:00:00",5783,6910,6795,7204,7449
"2026-08-03 17:00:00",3516,4116,4023,4399,4555
"2026-08-03 18:00:00",718,883,877,941,990
"2026-08-03 19:00:00",17,50,31,12,0
"2026-08-03 20:00:00",0,0,0,0,0
"2026-08-03 21:00:00",0,0,0,0,0
"2026-08-03 22:00:00",0,0,0,0,0
"2026-08-03 23:00:00",0,0,0,0,0
"2026-08-04 00:00:00",0,0,0,0,0
"2026-08-04 01:00:00",0,0,0,0,0
"2026-08-04 02:00:00",0,0,0,0,0
"2026-08-04 03:00:00",0,0,0,0,0
"2026-08-04 04:00:00",0,0,0,0,0
"2026-08-04 05:00:00",0,0,0,0,0
"2026-08-04 06:00:00",241,306,307,298,303
"2026-08-04 07:00:00",1477,2184,2120,2050,2172
"2026-08-04 08:00:00",4766,5928,5755,5596,5884
"2026-08-04 09:00:00",5528,6880,6662,6665,6961
"2026-08-04 10:00:00",8542,10326,10302,9851,10283
"2026-08-04 11:00:00",9391,11238,11146,11349,11523
"2026-08-04 12:00:00",9132,10825,9995,10883,11157
"2026-08-04 13:00:00",10484,12429,12453,12498,12766
"2026-08-04 14:00:00",9145,10719,10690,10939,11276
"2026-08-04 15:00:00",6050,7264,7124,7452,7694
"2026-08-04 16:00:00",6146,7342,7199,7723,7953
"2026-08-04 17:00:00",1830,2244,2191,2362,2462
"2026-08-04 18:00:00",557,692,677,757,918
"2026-08-04 19:00:00",0,0,0,0,0
"2026-08-04 20:00:00",0,0,0,0,0
"2026-08-04 21:00:00",0,0,0,0,0
"2026-08-04 22:00:00",0,0,0,0,0
"2026-08-04 23:00:00",0,0,0,0,0
"2026-08-05 00:00:00",0,0,0,0,0
"2026-08-05 01:00:00",0,0,0,0,0
"2026-08-05 02:00:00",0,0,0,0,0
"2026-08-05 03:00:00",0,0,0,0,0
"2026-08-05 04:00:00",0,0,0,0,0
"2026-08-05 05:00:00",0,0,0,0,0
"2026-08-05 06:00:00",219,302,292,278,293
"2026-08-05 07:00:00",2288,2973,2887,2688,2849
"2026-08-05 08:00:00",5298,6585,6415,6215,6535
"2026-08-05 09:00:00",6393,7783,7604,7543,7874
"2026-08-05 10:00:00",6843,8242,8086,8130,8436
"2026-08-05 11:00:00",8884,10549,10389,10452,10835
"2026-08-05 12:00:00",10971,11656,12740,12902,13311
"2026-08-05 13:00:00",10362,12163,12105,12370,12689
"2026-08-05 14:00:00",7480,8855,8786,9047,9324
"2026-08-05 15:00:00",5118,6153,6064,6245,6486
"2026-08-05 16:00:00",3043,3704,3631,3766,4553
"2026-08-05 17:00:00",1949,2397,2337,2443,2563
"2026-08-05 18:00:00",375,502,478,493,509
"2026-08-05 19:00:00",0,0,0,0,0
"2026-08-05 20:00:00",0,0,0,0,0
"2026-08-05 21:00:00",0,0,0,0,0
"2026-08-05 22:00:00",0,0,0,0,0
"2026-08-05 23:00:00",0,0,0,0,0
"2026-08-06 00:00:00",0,0,0,0,0
"2026-08-06 01:00:00",0,0,0,0,0
"2026-08-06 02:00:00",0,0,0,0,0
"2026-08-06 03:00:00",0,0,0,0,0
"2026-08-06 04:00:00",0,0,0,0,0
"2026-08-06 05:00:00",0,0,0,0,0
"2026-08-06 06:00:00",144,201,208,192,185
"2026-08-06 07:00:00",2132,2714,2632,2506,2638
"2026-08-06 08:00:00",3500,4319,4230,4109,4329
"2026-08-06 09:00:00",2365,2944,2891,2900,3051
"2026-08-06 10:00:00",5454,7799,7621,7691,8003
"2026-08-06 11:00:00",10182,12200,11610,12018,12442
"2026-08-06 12:00:00",6177,6892,6918,6629,6813
"2026-08-06 13:00:00",11227,13249,13156,13335,13684
"2026-08-06 14:00:00",0,0,0,0,0
"2026-08-06 15:00:00",0,0,0,0,0
"2026-08-06 16:00:00",0,0,0,0,0
"2026-08-06 17:00:00",0,0,0,0,0
"2026-08-06 18:00:00",0,0,0,0,0
"2026-08-06 19:00:00",0,0,0,0,0
"2026-08-06 20:00:00",0,0,0,0,0
"2026-08-06 21:00:00",0,0,0,0,0
"2026-08-06 22:00:00",0,0,0,0,0
"2026-08-06 23:00:00",0,0,0,0,0
