 ;Warrior Recreation Center / Power / Mean values [kW]
"=""03/04/ 1:00 AM"""; 
"=""03/04/ 2:00 AM"""; 
"=""03/04/ 3:00 AM"""; 
"=""03/04/ 4:00 AM"""; 
"=""03/04/ 5:00 AM"""; 
"=""03/04/ 6:00 AM"""; 
"=""03/04/ 7:00 AM""";0.01
"=""03/04/ 8:00 AM""";0.20
"=""03/04/ 9:00 AM""";0.65
"=""03/04/ 10:00 AM""";1.81
"=""03/04/ 11:00 AM""";2.94
"=""03/04/ 12:00 PM""";3.33
"=""03/04/ 1:00 PM""";3.35
"=""03/04/ 2:00 PM""";3.36
"=""03/04/ 3:00 PM""";3.23
"=""03/04/ 4:00 PM""";2.94
"=""03/04/ 5:00 PM""";2.17
"=""03/04/ 6:00 PM""";0.98
"=""03/04/ 7:00 PM""";0.25
"=""03/04/ 8:00 PM""";0.00
"=""03/04/ 9:00 PM"""; 
"=""03/04/ 10:00 PM"""; 
"=""03/04/ 11:00 PM"""; 
"=""04/04/ 12:00 AM"""; 
"=""04/04/ 1:00 AM"""; 
"=""04/04/ 2:00 AM"""; 
"=""04/04/ 3:00 AM"""; 
"=""04/04/ 4:00 AM"""; 
"=""04/04/ 5:00 AM"""; 
"=""04/04/ 6:00 AM"""; 
"=""04/04/ 7:00 AM""";0.01
"=""04/04/ 8:00 AM""";0.33
"=""04/04/ 9:00 AM""";1.73
"=""04/04/ 10:00 AM""";2.58
"=""04/04/ 11:00 AM""";3.00
"=""04/04/ 12:00 PM""";3.00
"=""04/04/ 1:00 PM""";3.27
"=""04/04/ 2:00 PM""";2.92
"=""04/04/ 3:00 PM""";2.57
"=""04/04/ 4:00 PM""";2.55
"=""04/04/ 5:00 PM""";1.94
"=""04/04/ 6:00 PM""";1.49
"=""04/04/ 7:00 PM""";0.21
"=""04/04/ 8:00 PM""";0.00
"=""04/04/ 9:00 PM"""; 
"=""04/04/ 10:00 PM"""; 
"=""04/04/ 11:00 PM"""; 
"=""05/04/ 12:00 AM"""; 
"=""05/04/ 1:00 AM"""; 
"=""05/04/ 2:00 AM"""; 
"=""05/04/ 3:00 AM"""; 
"=""05/04/ 4:00 AM"""; 
"=""05/04/ 5:00 AM"""; 
"=""05/04/ 6:00 AM"""; 
"=""05/04/ 7:00 AM""";0.00
"=""05/04/ 8:00 AM""";0.25
"=""05/04/ 9:00 AM""";0.88
