building_complex_name,meter_name,start_monthly_kwh,end_monthly_kwh
BACHMAN HALL AND ANNEXES,bachman_pv,2024-07-01,2025-06-01
CAMPUS CENTER AND WARRIOR RECREATION CENTER,warrior_pv,2023-07-01,2025-06-01
DANCE BUILDING,dance_pv,2023-07-01,2025-06-01
FROG 1,frog1_pv,2023-07-01,2025-06-01
FROG 2,frog2_pv,2023-07-01,2025-06-01
GARTLEY HALL,gartley_pv,2023-07-01,2025-06-01
JOHN A. BURNS HALL,burns_pv,2023-07-01,2026-02-01
LAW SCHOOL CLINICAL BUILDING,law_clinic_pv,2023-07-01,2025-06-01
LIFE SCIENCES BUILDING,life_science_pv,2023-07-01,2025-06-01
LOWER CAMPUS PARKING STRUCTURE - PHASE I,parking_phase1_pv,2025-03-01,2025-06-01
LOWER CAMPUS PARKING STRUCTURE - PHASE II,parking_phase2_pv,2023-07-01,2025-06-01
PACIFIC BIOSCIENCE RESEARCH CENTER COMPLEX,pbrc_pv,2023-07-01,2025-06-01
