sensor_id,meter_name,customer,building_complex_name,resolution_per_hr,building_complex_id,pv_power_start,pv_power_end,pv_power_hr_start,pv_power_hr_end,present_in_both,ranges_overlap
1,dance_pv,Dance Building,DANCE BUILDING,4,1251,2022-01-21 12:45:00,2026-03-24 23:45:00,,,f,f
2,burns_pv,East West Center (aka John A. Burns),JOHN A. BURNS HALL,4,1155,2021-07-01 00:00:00,2022-06-30 23:45:00,,,f,f
3,frog1_pv,Frog Bldgs 1257A FROG 1,FROG 1,4,1257A,2021-07-01 00:00:00,2026-04-12 23:45:00,2025-01-23 14:00:00,2025-03-19 15:00:00,t,t
4,frog2_pv,Frog Bldgs 1257B FROG 2,FROG 2,4,1257B,2021-07-01 00:00:00,2026-04-11 23:45:00,,,f,f
5,gartley_pv,Gartley Hall,GARTLEY HALL,4,1015,2021-07-01 00:00:00,2026-03-24 23:45:00,,,f,f
6,life_science_pv,Life Science Building,LIFE SCIENCES BUILDING,4,1263,2021-07-01 00:00:00,2025-02-03 23:45:00,2025-02-04 00:00:00,2026-03-24 23:00:00,t,f
7,parking_phase2_pv,Parking Structure - Phase2a,LOWER CAMPUS PARKING STRUCTURE - PHASE II,4,1001A,2021-07-01 00:00:00,2026-03-24 23:45:00,,,f,f
8,pbrc_pv,Pacific Biomedical Research Ctr (PBRC),PACIFIC BIOSCIENCE RESEARCH CENTER COMPLEX,4,1121_1195_1195AC,2023-08-11 11:30:00,2026-03-24 23:45:00,,,f,f
9,law_clinic_pv,Law School Clinical Building,LAW SCHOOL CLINICAL BUILDING,4,1260,2021-07-01 00:00:00,2025-02-03 23:45:00,2025-02-04 00:00:00,2026-03-24 23:00:00,t,f
10,sinclair_pv,Sinclair Library (decommissioned 2023),SINCLAIR LIBRARY AND ANNEXES,4,1133_1133AB,2021-07-01 00:00:00,2023-03-16 23:45:00,,,f,f
11,warrior_pv,Campus Center - Warrior Recreation Center,CAMPUS CENTER AND WARRIOR RECREATION CENTER,1,1055_1250_1031C,,,2021-07-01 00:00:00,2026-03-26 00:00:00,f,f
12,parking_phase1_pv,Parking Structure - Phase 1,LOWER CAMPUS PARKING STRUCTURE - PHASE I,4,1001,2025-03-18 12:30:00,2026-08-04 23:45:00,,,f,f
13,"gyms1,2_pv",Gyms 1&2,PHYSICAL EDUCATION/ATHLETIC COMPLEX (HPER),4,1110_1108G_1152E,2025-01-24 00:00:00,2026-03-23 23:45:00,,,f,f
14,bachman_pv,Bachman,BACHMAN HALL AND ANNEXES,4,1107_1103ABCDE,2024-03-05 00:00:00,2026-03-23 23:45:00,,,f,f
